"ID","Language","Source Text","Translated Text"
"252f0c6eb3","fr","Thank you, please visit again "," Merci, veuillez revenir!"
"63497516f1","fr","Amount "," Montant"
"e5da99bc3a","fr","Cashier "," caissier(e)"
"4424edace6","fr","Invoice"," Facture"
"bdb38cc994","fr","Receipt No "," Numéro de reçu"
"fc8c3813ae","fr","Customer "," Client"
"7e699809f6","fr","Item "," Article"
"74c1a02474","fr","Purchase Count"," Nombre d'achats"
"384485f24a","fr","Pending Bottles Count"," Nombre de bouteilles en attente"
"651d6a815a","fr","Pending Bottles "," Bouteilles en attente"
"abfb7db9dd","fr","Credit Status "," État de crédit"
"5fc07e0db1","fr","Customer Status "," Statut du client"
"4f2194ebd5","fr","Average Purchase Time (Days) "," Temps moyen entre les achats (Jours)"
"d05d49ee12","fr","Promo/Campaign "," campagne promotionnelle"
"ff9b288c3d","fr","Customer referral "," parrainage par un client"
"543de66a84","fr","Discount "," réduction"
"11a7d2b610","fr","Partnership "," partenariat"
"ef2498f398","fr","Propritership "," propriété"
"5ead823943","fr","Complete order "," finaliser la commande"
"7dfabe3535","fr","Edit cart "," modifier le panier"
"88b6d4943a","fr","Add discount "," ajouter une réduction"
"b8a0597d22","fr","Delivery Option "," Option de livraison"
"f47f12a124","fr","Query payments "," Requête sur les paiements"
"da8f6cb23f","fr","Request for payments "," Demande de paiements"
"99984aa24e","fr","Resellers ","  revendeurs"
"a64ec08cfc","fr","Households "," ménages"
"cc93c46cfc","fr","Businesses "," Bureaux"
"013fe51a6d","fr","Refill "," remplissage"
"a6af7ca28e","fr","New (What is written on the bottle in the picture)"," Nouveau"
"c51ea9c1b5","fr","All Items "," Tous les articles"
"6d2b237c6d","fr","No items in cart "," Aucun article dans le panier"
"9720c58f53","fr","Mpesa Payment Entry  "," Enregistrement de paiement Mpesa"
"ab2fc54449","fr","Expenses Entry "," Saisie des dépenses"
"b5901d1c44","fr","Damaged Bottles "," Bouteilles endommagées"
"266193ec57","fr","Pending Bottles "," Bouteilles en attente"
"8d0e86ba4d","fr","Stock Management "," Gestion des stocks"
"508ee540a7","fr","POS closing "," Fermeture de PDV"
"e4cdfdb1e5","fr","POS opening "," Ouverture de PDV"
"5b8a8e8efd","fr","Inactive customers "," Clients inactifs"
"85ae441d02","fr","Meter Reading "," Relevé de Compteur"
"60dfe7eeae","fr","Loyalty Points List "," Liste des Points de Fidélité"
"93c10b78ed","fr","Stock User "," Utilisateur des Stocks"
"63d1876570","fr","Stock Ledger Entry "," Entrée au Grand Livre des Stocks"
"d7f05bc959","fr","Auditor "," Auditeur"
"bf49b1334e","fr","Purchase user "," Utilisateur des Achats"
"afc4bd88e4","fr","Accounts User "," Utilisateur des Comptes"
"fa1b917187","fr","Accounts Manager "," Gestionnaire de Comptes"
"93b9351a9f","fr","Purchase Invoice "," Facture d'Achat"
"c98bf4b627","fr","Sales Invoice "," Facture de Vente"
"d14632a780","fr","Pending Action "," Action en attente"
"4d8fb80b99","fr","Bottle Type "," Type de bouteille"
"ac81d0666c","fr","Posted By"," Publié par "
"e6118e386e","fr","Material Receipt "," Réception de marchandises"
"86aa59ddf2","fr","Scan Code Barre "," Scanner le code barre"
"3e8f1b795e","fr","Repack "," Remballer"
"54811ebe01","fr","Manufacture "," Fabrication"
"edecadf094","fr","Subcontracting Order "," Commande de sous-traitance"
"dc951ce955","fr","Send to Subcontractor "," Envoyer au sous-traitant"
"22ddd1bcb0","fr","Material Consumption for Manufacture "," Consommation de matières pour la fabrication"
"fbcd7abf9f","fr","Stores "," Magasins"
"27263745cc","fr","Work In Progress "," Travail en cours"
"6cf5263afd","fr","Finished Goods "," Produit Finis"
"94126caa78","fr","Goods In Transit "," Marchandises en transit"
"05c23fbd58","fr","Store Front Warehouse "," Vitrine d’entrepot"
"a60b835a3c","fr","All Warehouse ","Tout l’entrepot"
"595655def3","fr","Damaged Bottles "," Bouteilles endommagées "
"980dfe9af1","fr","Jibu - A Better Life "," Jibu - Une vie meilleure"
"c3954b6052","fr","Thank you, please order again "," Merci, veuillez commander à nouveau."
"201bf88100","fr","This is not a TAX Receipt! "," Ceci n'est pas un reçu fiscal !"
"5036380f4b","fr","Sub Total "," Sous-total"
"15a4965792","fr","Price "," Prix"
"5bd5dac206","fr","Qty "," Qté"
"5ac62a3307","fr","Item "," Article"
"d063cb91ef","fr","Outstanding Amount "," Montant encours"
"2bca2899d6","fr","Cashier"," Caissier"
"613771c17e","fr","Customer"," Client"
"59f1c343b3","fr","Receipt No "," No de Reçu"
"9705053605","fr","All Items ","Tous les articles"
"d2ccf5e87b","fr","New","Nouveau"
"bb9729f0af","fr","Refill","Recharge"
"245acfe747","fr","Add Customer","Ajouter un client"
"707b38c674","fr","CRM","GRC"
"65b0682019","fr","Accounts Receivables","Comptes débiteurs"
"5402d98ce3","fr","POS-opening","PDV-ouverture"
"3dc593e2b9","fr","POS","PDV"
"b163e6f68d","fr","POS-closing","PDV-fermeture"
"b66b44766b","fr","Pending-bottles","Bouteilles en attente"
"0dcc0aed3e","fr","Warehouse Wise Stock Balance","Solde des stocks en entrepôt"
"4f574a8c68","fr","Open From View","Ouvrir depuis Vue"
"cf46c8707b","fr","Toggle Recent Orders","Toggle Commandes récentes"
"fc7bf164bd","fr","Save as Draft","Enregistrer comme brouillon"
"ed639750ed","fr","New Menu POS","Nouveau menu PDV"
"9ed270a6d5","fr","Pending-bottles"," Bouteilles en attente"
"c0e744a754","fr","Add Customer"," Ajouter un client"
"c4d6d098d4","fr","Type of Customer","Type de client"
"692b195cb5","fr","Alternative Mobile No","Autre numéro de téléphone"
"3acd906886","fr","Address Description","Adresse"
"2bf59c91b0","fr","Bottle","Bouteille"
"0ecb0398a3","fr","Record Pending Bottle","Enregistrer la bouteille en attente"
"9315bc98b8","fr","Return of Pending bottle","Retour de bouteille en attente"
"c0f637f756","fr","Return of Pending bottle","Retour de bouteille en attente"
"52cf390287","fr","Record Pending Bottle","Enregistrer la bouteille en attente"
"adca819298","fr","Bottle","Bouteille"
"cf2965100a","fr","Address Description","Adresse"
"e4b56ea3ff","fr","Alternative Mobile No","Autre numéro de téléphone"
"e0b6b70533","fr","Go to Jibu point of sale "," Aller au Point de Vente Jibu"
"0c96628be3","fr","CRM (Customer relationship management) "," (GRC) Gestion de la relation client "
"98ede775bc","fr","Accounts Receivables "," Comptes débiteurs"
"37533ea03c","fr","Stock Management "," Gestion de stock"
"6580525465","fr","POS-opening "," PDV-ouverture"
"34743d9ac8","fr","POS-closing "," PDV-fermeture"
"d3dbae3d86","fr","Pending-bottles "," Bouteilles en attente"
"58e420cf9a","fr","Warehouse Wise Stock Balance "," Solde des stocks en entrepôt"
"271949bceb","fr","Material Consumption for Manufacture "," Consommation de matières pour la fabrication"
"54ca793e3e","fr","Send to Subcontractor "," Envoyer au sous-traitant"
"5db1726c23","fr","Subcontracting Order "," Commande de sous-traitance"
"1b1c18948a","fr","Manufacture "," Fabrication"
"9024539c50","fr","Repack "," Remballer"
"e98c663958","fr","Scan Code Barre "," Scanner le code barre"
"68e0340d4d","fr","Damaged Bottles "," Bouteilles endommagées"
"2606acf259","fr","All Warehouse ","Tout l’entrepot"
"cabeb2ae5e","fr","Store Front Warehouse "," Vitrine d’entrepot"
"f029ce24d6","fr","Goods In Transit "," Marchandises en transit"
"7b7ea81da9","fr","Finished Goods "," Produit Finis"
"7b67c4aa26","fr","Work In Progress "," Travail en cours"
"e94dc00ad7","fr","Stores "," Magasins"
"4951d56980","fr","This is not a TAX Receipt! "," Ceci n'est pas un reçu fiscal !"
"786410d106","fr","Thank you, please order again "," Merci, veuillez commander à nouveau."
"ed5fb451c9","fr","Jibu - A Better Life "," Jibu - Une vie meilleure"
"af5122632d","fr","Receipt No "," No de Reçu"
"63583fe930","fr","Customer"," Client"
"1510ce4bd7","fr","Cashier"," Caissier"
"ac48a64ec5","fr","Outstanding Amount "," Montant encours"
"6b1e7d2cee","fr","Item "," Article"
"2c91deb73b","fr","Qty "," Qté"
"0eb050c84c","fr","Price "," Prix"
"664ef84bc4","fr","Sub Total "," Sous-total"
"7afc1aa5b0","fr","Go to Jibu Point of Sale"," Aller au Point de Vente Jibu"
"a5f82b296b","fr","All Items ","Tous les articles"
"0690da36b7","fr","New","Nouveau"
"8fd0ff1a1f","fr","Refill","Recharge"
"f437a76323","fr","Add Customer","Ajouter un client"
"645db3abee","fr","CRM","GRC"
"a9f77baea6","fr","Accounts Receivables","Comptes débiteurs"
"50a60583b7","fr","POS-opening","PDV-ouverture"
"3748200721","fr","POS","PDV"
"bd4a30d569","fr","POS-closing","PDV-fermeture"
"70f6aea283","fr","Pending-bottles","Bouteilles en attente"
"0fa851f4eb","fr","Warehouse Wise Stock Balance","Solde des stocks en entrepôt"
"95918c8bce","fr","Open From View","Ouvrir depuis Vue"
"9a3875babd","fr","Toggle Recent Orders","Toggle Commandes récentes"
"37ac87fa8f","fr","Save as Draft","Enregistrer comme brouillon"
"125808a88a","fr","New Menu POS","Nouveau menu PDV"
"5e55b729e3","fr","Pending-bottles"," Bouteilles en attente"
"625bfcbc79","fr","Add Customer"," Ajouter un client"
"9a3aa57fb4","fr","Type of Customer","Type de client"
"40639bbaf9","fr","Alternative Mobile No","Autre numéro de téléphone"
"a805fdc99c","fr","Address Description","Adresse"
"b15b58414d","fr","Bottle","Bouteille"
"f0f361da82","fr","Record Pending Bottle","Enregistrer la bouteille en attente"
"db13581329","fr","Return of Pending bottle","Retour de bouteille en attente"
"6e455f0e10","fr","Return of Pending bottle","Retour de bouteille en attente"
"f07d307f0e","fr","Record Pending Bottle","Enregistrer la bouteille en attente"
"9407e5dafd","fr","Bottle","Bouteille"
"8c1221d865","fr","Address Description","Adresse"
"e798646189","fr","Alternative Mobile No","Autre numéro de téléphone"
"71ea4452ee","fr","CRM (Customer relationship management) "," (GRC) Gestion de la relation client "
"fe0efcab03","fr","Accounts Receivables "," Comptes débiteurs"
"19195d7559","fr","Stock Management "," Gestion de stock"
"5a2b7f5ab9","fr","POS-opening "," PDV-ouverture"
"1141178588","fr","POS-closing "," PDV-fermeture"
"a174457340","fr","Pending-bottles "," Bouteilles en attente"
"73fee832b7","fr","Warehouse Wise Stock Balance "," Solde des stocks en entrepôt"
"bbfeb51881","fr","Material Consumption for Manufacture "," Consommation de matières pour la fabrication"
"be54084739","fr","Send to Subcontractor "," Envoyer au sous-traitant"
"bdf1910da2","fr","Subcontracting Order "," Commande de sous-traitance"
"3744b9081b","fr","Manufacture "," Fabrication"
"c299ffa2e0","fr","Repack "," Remballer"
"b8f763184a","fr","Scan Code Barre "," Scanner le code barre"
"e080c24a30","fr","Damaged Bottles "," Bouteilles endommagées"
"0c1fd55d30","fr","All Warehouse ","Tout l’entrepot"
"4d582f1999","fr","Store Front Warehouse "," Vitrine d’entrepot"
"1bd67b80e7","fr","Goods In Transit "," Marchandises en transit"
"0c11d22a6a","fr","Finished Goods "," Produit Finis"
"0c99023986","fr","Work In Progress "," Travail en cours"
"a8a8d18c65","fr","Stores "," Magasins"
"540bede070","fr","This is not a TAX Receipt! "," Ceci n'est pas un reçu fiscal !"
"41e3cdbd69","fr","Thank you, please order again "," Merci, veuillez commander à nouveau."
"6ef82cb9e5","fr","Jibu - A Better Life "," Jibu - Une vie meilleure"
"93f18f5685","fr","Receipt No "," No de Reçu"
"46e7267e9a","fr","Customer"," Client"
"24472a803d","fr","Cashier"," Caissier"
"7f624a8f1a","fr","Outstanding Amount "," Montant encours"
"4b32bf20bc","fr","Item "," Article"
"2c314d5378","fr","Qty "," Qté"
"672a192f2f","fr","Price "," Prix"
"22600aeb8c","fr","Sub Total "," Sous-total"
